"drug","uM","time","mean","time2","sd"
"AS1842856","3.3",0,0,-25.6855191256831,NA
"AS1842856","3.3",0.003278689,0.0028,-25.6822404366831,NA
"AS1842856","3.3",0.023224044,-0.0036,-25.6622950816831,NA
"AS1842856","3.3",0.03989071,-0.0058,-25.6456284156831,NA
"AS1842856","3.3",0.056557377,-0.0093,-25.6289617486831,NA
"AS1842856","3.3",0.073224044,-0.0123,-25.6122950816831,NA
"AS1842856","3.3",0.08989071,-0.0134,-25.5956284156831,NA
"AS1842856","3.3",0.106557377,-0.0178,-25.5789617486831,NA
"AS1842856","3.3",0.123224044,-0.0196,-25.5622950816831,NA
"AS1842856","3.3",0.13989071,-0.0209,-25.5456284156831,NA
"AS1842856","3.3",0.156557377,-0.0228,-25.5289617486831,NA
"AS1842856","3.3",0.173224044,-0.0242,-25.5122950816831,NA
"AS1842856","3.3",1.372404372,0.0026,-24.3131147536831,NA
"AS1842856","3.3",1.539071038,0.0023,-24.1464480876831,NA
"AS1842856","3.3",1.705737705,0.0015,-23.9797814206831,NA
"AS1842856","3.3",1.872404372,0.0016,-23.8131147536831,NA
"AS1842856","3.3",2.039071038,0.0034,-23.6464480876831,NA
"AS1842856","3.3",2.205737705,0.0022,-23.4797814206831,NA
"AS1842856","3.3",2.372404372,0.0027,-23.3131147536831,NA
"AS1842856","3.3",2.539071038,0.0022,-23.1464480876831,NA
"AS1842856","3.3",2.705737705,0.002,-22.9797814206831,NA
"AS1842856","3.3",2.872404372,0.002,-22.8131147536831,NA
"AS1842856","3.3",3.039071038,0.002,-22.6464480876831,NA
"AS1842856","3.3",3.205737705,0.003,-22.4797814206831,NA
"AS1842856","3.3",3.372404372,0.002,-22.3131147536831,NA
"AS1842856","3.3",3.539071038,0.0023,-22.1464480876831,NA
"AS1842856","3.3",3.705737705,0.0018,-21.9797814206831,NA
"AS1842856","3.3",3.872404372,0.0044,-21.8131147536831,NA
"AS1842856","3.3",4.039071038,0.0042,-21.6464480876831,NA
"AS1842856","3.3",4.205737705,0.0044,-21.4797814206831,NA
"AS1842856","3.3",4.372404372,0.0054,-21.3131147536831,NA
"AS1842856","3.3",4.539071038,0.0051,-21.1464480876831,NA
"AS1842856","3.3",4.705737705,0.005,-20.9797814206831,NA
