,simulation,auc_live,auc_apoptotic,drug_1,drug_2,conc_1,conc_2
0,LNCaP_mut_RNA_00_2_Selumetinib_0_0_7,60950160.0,1813200.0,Selumetinib,Selumetinib,IC30,IC30
1,LNCaP_mut_RNA_00_4_Luminespib_0_0_6,58019760.0,1818960.0,Luminespib,Luminespib,IC70,IC70
2,LNCaP_mut_RNA_00_5_Selumetinib_0_0_4,57018000.0,1720680.0,Selumetinib,Selumetinib,IC90,IC90
3,LNCaP_mut_RNA_00_4_Ipatasertib_0_0_2,60297360.0,1674600.0,Ipatasertib,Ipatasertib,IC70,IC70
4,LNCaP_mut_RNA_00_1_Afatinib_0_0_2,58851360.0,1751160.0,Afatinib,Afatinib,IC10,IC10
5,LNCaP_mut_RNA_00_5_Pictilisib_0_0_1,53648280.0,1552320.0,Pictilisib,Pictilisib,IC90,IC90
6,LNCaP_mut_RNA_00_5_Ulixertinib_0_0_9,61243800.0,1845960.0,Ulixertinib,Ulixertinib,IC90,IC90
7,LNCaP_mut_RNA_00_1_Pictilisib_0_0_8,55495080.0,1597800.0,Pictilisib,Pictilisib,IC10,IC10
8,LNCaP_mut_RNA_00_1_Ipatasertib_0_0_7,58683000.0,1762080.0,Ipatasertib,Ipatasertib,IC10,IC10
9,LNCaP_mut_RNA_00_5_Afatinib_0_0_1,62070000.0,1842000.0,Afatinib,Afatinib,IC90,IC90
10,LNCaP_mut_RNA_00_5_Luminespib_0_0_5,60581280.0,1822920.0,Luminespib,Luminespib,IC90,IC90
11,LNCaP_mut_RNA_00_5_Afatinib_0_0_2,56373720.0,1689240.0,Afatinib,Afatinib,IC90,IC90
12,LNCaP_mut_RNA_00_5_Luminespib_0_0_6,59196120.0,1839720.0,Luminespib,Luminespib,IC90,IC90
13,LNCaP_mut_RNA_00_3_Afatinib_0_0_6,59756400.0,1797120.0,Afatinib,Afatinib,IC50,IC50
14,LNCaP_mut_RNA_00_3_Ulixertinib_0_0_6,59572680.0,1748520.0,Ulixertinib,Ulixertinib,IC50,IC50
15,LNCaP_mut_RNA_00_1_Selumetinib_0_0_8,59297520.0,1731720.0,Selumetinib,Selumetinib,IC10,IC10
16,LNCaP_mut_RNA_00_2_Afatinib_0_0_7,60990240.0,1749360.0,Afatinib,Afatinib,IC30,IC30
17,LNCaP_mut_RNA_00_4_Ulixertinib_0_0_1,58926120.0,1722960.0,Ulixertinib,Ulixertinib,IC70,IC70
18,LNCaP_mut_RNA_00_5_Luminespib_0_0_7,56604960.0,1656360.0,Luminespib,Luminespib,IC90,IC90
19,LNCaP_mut_RNA_00_3_Pictilisib_0_0_2,55718400.0,1624680.0,Pictilisib,Pictilisib,IC50,IC50
20,LNCaP_mut_RNA_00_5_Ipatasertib_0_0_2,55637040.0,1695600.0,Ipatasertib,Ipatasertib,IC90,IC90
21,LNCaP_mut_RNA_00_4_Afatinib_0_0_1,61107720.0,1746360.0,Afatinib,Afatinib,IC70,IC70
22,LNCaP_mut_RNA_00_2_Afatinib_0_0_3,58902840.0,1809720.0,Afatinib,Afatinib,IC30,IC30
23,LNCaP_mut_RNA_00_1_Pictilisib_0_0_4,57060960.0,1736280.0,Pictilisib,Pictilisib,IC10,IC10
24,LNCaP_mut_RNA_00_1_Luminespib_0_0_3,55946640.0,1740240.0,Luminespib,Luminespib,IC10,IC10
25,LNCaP_mut_RNA_00_5_Ipatasertib_0_0_10,58137720.0,1647480.0,Ipatasertib,Ipatasertib,IC90,IC90
26,LNCaP_mut_RNA_00_5_Selumetinib_0_0_5,60081720.0,1723200.0,Selumetinib,Selumetinib,IC90,IC90
27,LNCaP_mut_RNA_00_5_Ulixertinib_0_0_7,61707720.0,1776480.0,Ulixertinib,Ulixertinib,IC90,IC90
28,LNCaP_mut_RNA_00_1_Selumetinib_0_0_9,61349880.0,1801680.0,Selumetinib,Selumetinib,IC10,IC10
29,LNCaP_mut_RNA_00_3_Ulixertinib_0_0_7,62018520.0,1895400.0,Ulixertinib,Ulixertinib,IC50,IC50
30,LNCaP_mut_RNA_00_4_Ipatasertib_0_0_5,60095040.0,1706280.0,Ipatasertib,Ipatasertib,IC70,IC70
31,LNCaP_mut_RNA_00_2_Luminespib_0_0_4,60426000.0,1823040.0,Luminespib,Luminespib,IC30,IC30
32,LNCaP_mut_RNA_00_5_Luminespib_0_0_9,59956200.0,1767240.0,Luminespib,Luminespib,IC90,IC90
33,LNCaP_mut_RNA_00_5_Selumetinib_0_0_2,59992080.0,1812840.0,Selumetinib,Selumetinib,IC90,IC90
34,LNCaP_mut_RNA_00_2_Ipatasertib_0_0_2,62082720.0,1767840.0,Ipatasertib,Ipatasertib,IC30,IC30
35,LNCaP_mut_RNA_00_2_Pictilisib_0_0_9,59288760.0,1697040.0,Pictilisib,Pictilisib,IC30,IC30
36,LNCaP_mut_RNA_00_3_Ulixertinib_0_0_5,60426720.0,1823520.0,Ulixertinib,Ulixertinib,IC50,IC50
37,LNCaP_mut_RNA_00_4_Afatinib_0_0_8,60282720.0,1792200.0,Afatinib,Afatinib,IC70,IC70
38,LNCaP_mut_RNA_00_4_Luminespib_0_0_9,59644320.0,1810680.0,Luminespib,Luminespib,IC70,IC70
39,LNCaP_mut_RNA_00_5_Afatinib_0_0_3,57341400.0,1702080.0,Afatinib,Afatinib,IC90,IC90
40,LNCaP_mut_RNA_00_4_Ulixertinib_0_0_8,61261320.0,1776360.0,Ulixertinib,Ulixertinib,IC70,IC70
41,LNCaP_mut_RNA_00_3_Luminespib_0_0_9,60678720.0,1808880.0,Luminespib,Luminespib,IC50,IC50
42,LNCaP_mut_RNA_00_2_Ulixertinib_0_0_7,62078640.0,1841400.0,Ulixertinib,Ulixertinib,IC30,IC30
